,id,title,author,authoryearofbirth,avg_speed,normalized_volume,cirtuitous,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,log_N_tokens,log_downloads
1959,PG2799,Eben Holden: A Tale of the North Country,"Bacheller, Irving",1859.0,0.08727797,0.7922790232540428,28.84811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.596623023991794,5.351858133476067
1960,PG28006,The Perpetual Curate,"Oliphant, Mrs. (Margaret)",1828.0,0.064905584,0.875910620831202,76.92751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.359149892291391,3.8918202981106265
1961,PG2802,Ramona,"Jackson, Helen Hunt",1830.0,0.082996435,0.862847130050074,50.879402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.151315464069876,5.950642552587727
1962,PG28033,The Wild Huntress: Love in the Wilderness,"Reid, Mayne",1818.0,0.095401734,0.8570841427539441,42.526127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.13379760790976,4.812184355372417
1963,PG28037,In Doublet and Hose: A Story for Girls,"Madison, Lucy Foster",1865.0,0.08255542,0.6304721181283655,11.010737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.185434773248891,4.430816798843313
1964,PG2803,The Rise of David Levinsky,"Cahan, Abraham",1860.0,0.071795225,0.8193467351621668,38.626957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.224536141295712,4.356708826689592
1965,PG28040,Robin Tremayne: A Story of the Marian Persecution,"Holt, Emily Sarah",1836.0,0.088246934,0.8192756276183669,14.795008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.883433291902591,3.258096538021482
1966,PG2804,"Rose in Bloom: A Sequel to ""Eight Cousins""","Alcott, Louisa May",1832.0,0.07209304,0.756807441103102,20.478783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.632963733454044,6.089044875446846
1967,PG28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",1821.0,0.082241304,0.9222018586310946,76.39437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.97789236474142,9.548881894718772
1968,PG28070,A Man of Two Countries,"Harriman, Alice",1861.0,0.07333725,0.6531251502857303,15.83984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.188786855507832,3.951243718581428
1969,PG28071,"The Red Triangle: Being Some Further Chronicles of Martin Hewitt, Investigator","Morrison, Arthur",1863.0,0.099479236,0.6242287057835241,15.961009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.241405413915658,4.143134726391533
1970,PG28088,"The Beth Book: Being a Study of the Life of Elizabeth Caldwell Maclure, a Woman of Genius","Grand, Sarah",1854.0,0.079261094,0.9022904437022258,101.27241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.613086553628188,4.007333185232471
1971,PG28093,The Confessions of Arsène Lupin,"Leblanc, Maurice",1864.0,0.082587115,0.6716632053865673,15.800719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.350947565559864,4.919980925828125
1972,PG28115,The Great Sioux Trail: A Story of Mountain and Plain,"Altsheler, Joseph A. (Joseph Alexander)",1862.0,0.07297385,0.7474272295733556,16.22282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.612082780503414,3.258096538021482
1973,PG2813,The Grand Babylon Hôtel,"Bennett, Arnold",1867.0,0.08106326,0.667051419509486,23.863468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.351699816471006,5.3612921657094255
1974,PG2815,"Democracy, an American novel","Adams, Henry",1838.0,0.06701403,0.6830486492873645,17.96062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.333487745916086,5.568344503761097
1975,PG28179,"The Inglises; Or, How the Way Opened","Robertson, Margaret M. (Margaret Murray)",1821.0,0.08244996,0.716085655793779,27.085417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.552059635917304,3.555348061489413
1976,PG28180,Hanover; Or The Persecution of the Lowly: A Story of the Wilmington Massacre.,"Thorne, Jack",1863.0,0.095061705,0.6326605641326312,14.13461,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.003665281928944,2.772588722239781
1977,PG28221,Dorothy's Triumph,"Raymond, Evelyn",1843.0,0.08092205,0.538116842321098,8.980542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.040214173312895,3.80666248977032
